Data,Tela,ContagemDeEventos,TotalDeUsuarios
"2025-12-12","(not set)",45082,44839
"2025-12-13","(not set)",46174,46159
"2025-12-14","(not set)",42401,41780
"2025-12-15","(not set)",43846,43245
"2025-12-16","(not set)",43649,42985
"2025-12-17","(not set)",43144,42901
"2025-12-18","(not set)",43692,43911
"2025-12-19","(not set)",45235,45460
"2025-12-19","(not set)",2,2
"2025-12-20","(not set)",44179,44256
"2025-12-20","(not set)",9,9
"2025-12-21","(not set)",42489,42480
"2025-12-21","(not set)",197,197
