Data,Tela,ContagemDeEventos,TotalDeUsuarios
"2025-07-20","(not set)",17,17
"2025-07-21","(not set)",11,11
"2025-07-22","(not set)",6,6
"2025-07-22","trial_white_animation_all_features",1,1
"2025-07-23","(not set)",29,23
"2025-07-24","(not set)",15,15
"2025-07-25","(not set)",10,10
"2025-07-26","(not set)",19,18
"2025-07-27","(not set)",13,13
"2025-07-28","(not set)",13,13
"2025-07-28","trial_white_animation_all_features",1,1
"2025-07-29","(not set)",20,18
"2025-07-30","(not set)",19,19
"2025-07-31","(not set)",11,11
"2025-07-31","trial_white_animation_all_features",1,1
"2025-08-01","(not set)",15,14
"2025-08-01","plans_offer_annual_highlighted",1,1
"2025-08-02","(not set)",10,10
"2025-08-03","(not set)",14,14
"2025-08-03","trial_white_animation_all_features",1,1
"2025-08-04","(not set)",19,17
"2025-08-05","(not set)",9,9
"2025-08-06","(not set)",11,11
"2025-08-07","(not set)",15,15
"2025-08-08","(not set)",21,19
"2025-08-09","(not set)",9,9
"2025-08-10","(not set)",7,7
"2025-08-11","(not set)",17,17
"2025-08-12","(not set)",19,10
"2025-08-13","(not set)",14,14
"2025-08-14","(not set)",7,7
"2025-08-15","(not set)",14,14
"2025-08-16","(not set)",6,6
"2025-08-16","trial_white_animation_all_features",1,1
"2025-08-17","(not set)",16,16
"2025-08-18","(not set)",8,8
"2025-08-19","(not set)",12,12
"2025-08-20","(not set)",12,12
"2025-08-21","(not set)",12,12
"2025-08-21","plans_offer_annual_highlighted",1,1
"2025-08-22","(not set)",10,10
"2025-08-23","(not set)",13,13
"2025-08-24","(not set)",12,12
"2025-08-25","(not set)",24,22
"2025-08-26","(not set)",16,16
"2025-08-27","(not set)",18,18
"2025-08-28","(not set)",37,35
"2025-08-28","plans_offer_annual_highlighted",1,1
"2025-08-29","(not set)",27,25
"2025-08-30","(not set)",20,20
"2025-08-31","(not set)",15,15
"2025-09-01","(not set)",23,22
"2025-09-02","(not set)",23,23
"2025-09-03","(not set)",21,21
"2025-09-04","(not set)",20,20
"2025-09-05","(not set)",19,19
"2025-09-06","(not set)",17,17
"2025-09-07","(not set)",12,12
"2025-09-08","(not set)",17,17
"2025-09-09","(not set)",19,19
"2025-09-10","(not set)",18,18
"2025-09-11","(not set)",17,17
"2025-09-12","(not set)",11,11
"2025-09-13","(not set)",13,13
"2025-09-14","(not set)",11,11
"2025-09-15","(not set)",15,15
"2025-09-16","(not set)",17,15
"2025-09-17","(not set)",9,9
"2025-09-18","(not set)",11,11
"2025-09-19","(not set)",13,13
"2025-09-20","(not set)",12,12
"2025-09-21","(not set)",15,15
"2025-09-22","(not set)",19,19
"2025-09-23","(not set)",16,16
"2025-09-24","(not set)",15,15
"2025-09-25","(not set)",21,21
"2025-09-26","(not set)",15,14
"2025-09-27","(not set)",15,15
"2025-09-28","(not set)",14,14
"2025-09-29","(not set)",18,18
"2025-09-30","(not set)",18,18
"2025-10-01","(not set)",9,9
"2025-10-02","(not set)",17,17
"2025-10-03","(not set)",12,12
"2025-10-04","(not set)",15,14
"2025-10-05","(not set)",16,16
"2025-10-06","(not set)",12,11
"2025-10-07","(not set)",15,14
"2025-10-08","(not set)",16,14
"2025-10-09","(not set)",16,11
"2025-10-10","(not set)",20,16
"2025-10-11","(not set)",8,8
"2025-10-12","(not set)",10,10
"2025-10-13","(not set)",18,17
"2025-10-14","(not set)",10,8
"2025-10-15","(not set)",28,20
"2025-10-16","(not set)",17,16
"2025-10-17","(not set)",13,13
"2025-10-18","(not set)",6,6
"2025-10-19","(not set)",4,4
"2025-10-20","(not set)",21,17
"2025-10-21","(not set)",12,11
"2025-10-22","(not set)",11,11
"2025-10-23","(not set)",20,17
"2025-10-24","(not set)",8,8
"2025-10-25","(not set)",15,15
"2025-10-26","(not set)",9,9
"2025-10-27","(not set)",16,13
"2025-10-28","(not set)",15,11
"2025-10-29","(not set)",12,11
"2025-10-29","plans_offer_annual_highlighted",1,1
"2025-10-30","(not set)",16,9
"2025-10-30","plans_offer_annual_highlighted",3,1
"2025-10-31","(not set)",26,19
"2025-10-31","plans_offer_annual_highlighted",1,1
"2025-11-01","(not set)",10,10
"2025-11-02","(not set)",16,16
"2025-11-03","(not set)",15,14
"2025-11-04","(not set)",20,18
"2025-11-05","(not set)",16,14
"2025-11-06","(not set)",19,17
"2025-11-07","(not set)",14,14
"2025-11-08","(not set)",15,15
"2025-11-09","(not set)",15,15
"2025-11-10","(not set)",19,16
"2025-11-11","(not set)",18,15
"2025-11-12","(not set)",24,20
"2025-11-13","(not set)",24,19
"2025-11-14","(not set)",16,11
"2025-11-15","(not set)",14,13
"2025-11-16","(not set)",12,11
"2025-11-17","(not set)",20,19
"2025-11-18","(not set)",20,20
"2025-11-19","(not set)",10,8
"2025-11-20","(not set)",7,7
"2025-11-21","(not set)",15,15
"2025-11-22","(not set)",8,7
"2025-11-23","(not set)",12,12
"2025-11-24","(not set)",9,6
"2025-11-25","(not set)",24,19
"2025-11-26","(not set)",13,9
"2025-11-27","(not set)",14,14
"2025-11-28","(not set)",12,12
"2025-11-29","(not set)",12,12
"2025-11-30","(not set)",17,17
"2025-12-01","(not set)",15,15
"2025-12-02","(not set)",15,15
"2025-12-03","(not set)",12,12
"2025-12-04","(not set)",13,13
"2025-12-05","(not set)",10,10
"2025-12-06","(not set)",12,11
"2025-12-07","(not set)",6,6
"2025-12-08","(not set)",14,14
"2025-12-09","(not set)",15,15
"2025-12-10","(not set)",10,10
"2025-12-11","(not set)",17,14
"2025-12-12","(not set)",15,15
"2025-12-13","(not set)",10,10
"2025-12-14","(not set)",12,12
"2025-12-15","(not set)",21,20
"2025-12-16","(not set)",7,6
"2025-12-17","(not set)",13,11
"2025-12-18","(not set)",16,15
"2025-12-19","(not set)",5,5
"2025-12-20","(not set)",10,10
"2025-12-21","(not set)",13,13
