Data,Tela,ContagemDeEventos,TotalDeUsuarios
"2024-12-06","trial_white_animation_all_features",19,17
"2024-12-06","adsfree",1,1
"2024-12-06","adsfree_toggle_switch",1,1
"2024-12-06","plans_offer_annual_highlighted",1,1
"2024-12-06","trial_churner",1,1
"2024-12-07","(not set)",2549,1546
"2024-12-07","trial_white_animation_all_features",27,20
"2024-12-07","plans_offer_annual_highlighted",5,4
"2024-12-07","adsfree_toggle_switch",3,3
"2024-12-08","(not set)",2294,1367
"2024-12-08","trial_white_animation_all_features",28,18
"2024-12-08","adsfree_toggle_switch",6,4
"2024-12-09","(not set)",2221,1376
"2024-12-09","trial_white_animation_all_features",22,15
"2024-12-09","adsfree_toggle_switch",2,2
"2024-12-09","pro_promotion_urgent",1,1
"2024-12-10","(not set)",2257,1384
"2024-12-10","trial_white_animation_all_features",31,25
"2024-12-10","plans_offer_annual_highlighted",5,5
"2024-12-10","adsfree_toggle_switch",1,1
"2024-12-10","trial",1,1
"2024-12-11","(not set)",2483,1508
"2024-12-11","trial_white_animation_all_features",21,21
"2024-12-11","adsfree_toggle_switch",3,3
"2024-12-11","adsfree_promotion_lto",1,1
"2024-12-12","(not set)",2257,1416
"2024-12-12","trial_white_animation_all_features",18,13
"2024-12-12","breachreport_monitoring_ultra",1,1
"2024-12-13","(not set)",2342,1365
"2024-12-13","trial_white_animation_all_features",17,13
"2024-12-13","adsfree_toggle_switch",4,3
"2024-12-13","breachreport_monitoring_ultra",1,1
"2024-12-13","plans_offer_annual_highlighted",1,1
"2024-12-14","(not set)",2304,1339
"2024-12-14","trial_white_animation_all_features",11,10
"2024-12-14","plans_offer_annual_highlighted",2,2
"2024-12-14","pro_promotion_urgent",2,2
"2024-12-14","trial_churner",1,1
"2024-12-15","(not set)",2241,1402
"2024-12-15","trial_white_animation_all_features",25,21
"2024-12-15","adsfree_toggle_switch",5,4
"2024-12-15","pro_promotion_urgent",1,1
"2024-12-16","(not set)",2148,1382
"2024-12-16","trial_white_animation_all_features",23,17
"2024-12-16","adsfree_toggle_switch",8,3
"2024-12-16","pro_promotion_urgent",1,1
"2024-12-17","(not set)",2325,1470
"2024-12-17","trial_white_animation_all_features",16,12
"2024-12-17","adsfree_toggle_switch",4,3
"2024-12-18","(not set)",2531,1493
"2024-12-18","trial_white_animation_all_features",20,18
"2024-12-18","adsfree_promotion_lto",1,1
"2024-12-18","adsfree_toggle_switch",1,1
"2024-12-18","plans_offer_annual_highlighted",1,1
"2024-12-19","(not set)",2373,1419
"2024-12-19","trial_white_animation_all_features",30,16
"2024-12-19","adsfree_toggle_switch",3,3
"2024-12-19","plans_offer_annual_highlighted",3,2
"2024-12-20","(not set)",2230,1358
"2024-12-20","trial_white_animation_all_features",17,13
"2024-12-20","plans_offer_annual_highlighted",5,4
"2024-12-20","adsfree_toggle_switch",3,3
"2024-12-20","adsfree",1,1
"2024-12-21","(not set)",2156,1337
"2024-12-21","trial_white_animation_all_features",14,11
"2024-12-21","adsfree_toggle_switch",5,3
"2024-12-21","plans_offer_annual_highlighted",1,1
"2024-12-21","pro_promotion_urgent",1,1
"2024-12-22","(not set)",2103,1352
"2024-12-22","trial_white_animation_all_features",12,10
"2024-12-22","adsfree_toggle_switch",4,4
"2024-12-23","(not set)",2366,1359
"2024-12-23","trial_white_animation_all_features",14,12
"2024-12-23","adsfree_toggle_switch",2,2
"2024-12-23","plans_offer_annual_highlighted",1,1
"2024-12-23","trial",1,1
"2024-12-24","(not set)",2095,1327
"2024-12-24","trial_white_animation_all_features",26,23
"2024-12-24","plans_offer_annual_highlighted",3,3
"2024-12-24","breachreport_monitoring_ultra",1,1
"2024-12-24","trial",1,1
"2024-12-25","(not set)",2102,1338
"2024-12-25","trial_white_animation_all_features",35,21
"2024-12-25","adsfree_toggle_switch",7,4
"2024-12-25","plans_offer_annual_highlighted",2,2
"2024-12-25","adsfree_promotion_lto",1,1
"2024-12-25","trial",1,1
"2024-12-26","(not set)",2556,1590
"2024-12-26","trial_white_animation_all_features",32,24
"2024-12-26","adsfree_toggle_switch",5,5
"2024-12-26","adsfree",1,1
"2024-12-26","plans_offer_annual_highlighted",1,1
"2024-12-27","(not set)",2647,1630
"2024-12-27","trial_white_animation_all_features",30,26
"2024-12-27","adsfree_toggle_switch",1,1
"2024-12-27","plans_offer_annual_highlighted",1,1
"2024-12-28","(not set)",2773,1611
"2024-12-28","trial_white_animation_all_features",25,16
"2024-12-28","adsfree_toggle_switch",3,3
"2024-12-29","(not set)",2531,1584
"2024-12-29","trial_white_animation_all_features",27,18
"2024-12-29","adsfree_toggle_switch",2,2
"2024-12-29","plans_offer_annual_highlighted",1,1
"2024-12-29","pro_promotion_urgent",1,1
"2024-12-30","(not set)",2534,1535
"2024-12-30","trial_white_animation_all_features",20,19
"2024-12-30","adsfree_toggle_switch",1,1
"2024-12-30","pro_promotion_lto",1,1
"2024-12-31","(not set)",2280,1377
"2024-12-31","trial_white_animation_all_features",17,12
"2024-12-31","adsfree_toggle_switch",1,1
"2024-12-31","plans_offer_annual_highlighted",1,1
"2025-01-01","(not set)",2205,1390
"2025-01-01","trial_white_animation_all_features",16,13
"2025-01-01","plans_offer_annual_highlighted",2,1
"2025-01-01","adsfree_toggle_switch",1,1
"2025-01-02","(not set)",2693,1696
"2025-01-02","trial_white_animation_all_features",28,25
"2025-01-02","plans_offer_annual_highlighted",8,5
"2025-01-02","adsfree_toggle_switch",6,3
"2025-01-02","pro_promotion_urgent",2,2
"2025-01-02","adsfree_promotion_lto",1,1
"2025-01-02","breachreport_monitoring_ultra",1,1
"2025-01-03","(not set)",2665,1692
"2025-01-03","trial_white_animation_all_features",31,22
"2025-01-03","plans_offer_annual_highlighted",2,2
"2025-01-03","adsfree",1,1
"2025-01-03","pro_promotion_urgent",1,1
"2025-01-04","(not set)",2721,1673
"2025-01-04","trial_white_animation_all_features",24,19
"2025-01-04","adsfree",1,1
"2025-01-04","adsfree_toggle_switch",1,1
"2025-01-05","(not set)",2974,1698
"2025-01-05","trial_white_animation_all_features",29,20
"2025-01-05","adsfree_toggle_switch",3,3
"2025-01-05","adsfree",1,1
"2025-01-05","plans_offer_annual_highlighted",1,1
"2025-01-05","pro_promotion_urgent",1,1
"2025-01-06","(not set)",2740,1675
"2025-01-06","trial_white_animation_all_features",16,15
"2025-01-06","adsfree_toggle_switch",7,5
"2025-01-06","trial",2,1
"2025-01-06","plans_offer_annual_highlighted",1,1
"2025-01-06","pro_promotion_urgent",1,1
"2025-01-07","(not set)",2810,1616
"2025-01-07","trial_white_animation_all_features",35,21
"2025-01-07","adsfree_promotion_lto",1,1
"2025-01-07","adsfree_toggle_switch",1,1
"2025-01-07","plans_offer_annual_highlighted",1,1
"2025-01-07","pro_promotion_urgent",1,1
"2025-01-08","(not set)",2524,1553
"2025-01-08","trial_white_animation_all_features",18,15
"2025-01-08","adsfree_toggle_switch",7,6
"2025-01-08","bottom_timer_red",2,1
"2025-01-08","plans_offer_annual_highlighted",2,1
"2025-01-08","pro_promotion_urgent",1,1
"2025-01-09","(not set)",2459,1492
"2025-01-09","trial_white_animation_all_features",28,19
"2025-01-09","adsfree_toggle_switch",2,2
"2025-01-09","plans_offer_annual_highlighted",1,1
"2025-01-09","pro_promotion_urgent",1,1
"2025-01-10","(not set)",2304,1422
"2025-01-10","trial_white_animation_all_features",20,16
"2025-01-11","(not set)",2498,1502
"2025-01-11","trial_white_animation_all_features",19,17
"2025-01-11","plans_offer_annual_highlighted",1,1
"2025-01-11","pro_promotion_urgent",1,1
"2025-01-12","(not set)",2618,1539
"2025-01-12","trial_white_animation_all_features",34,22
"2025-01-12","plans_offer_annual_highlighted",4,3
"2025-01-12","trial",4,1
"2025-01-12","adsfree_toggle_switch",3,2
"2025-01-12","pro_promotion_urgent",1,1
"2025-01-13","(not set)",2436,1532
"2025-01-13","trial_white_animation_all_features",22,15
"2025-01-13","adsfree_toggle_switch",9,5
"2025-01-13","adsfree",2,2
"2025-01-13","plans_offer_annual_highlighted",1,1
"2025-01-14","(not set)",2444,1595
"2025-01-14","trial_white_animation_all_features",24,21
"2025-01-14","adsfree_toggle_switch",4,4
"2025-01-14","adsfree",2,2
"2025-01-14","but_wait",1,1
"2025-01-14","trial",1,1
"2025-01-15","(not set)",2420,1452
"2025-01-15","trial_white_animation_all_features",22,15
"2025-01-15","pro_promotion_urgent",2,1
"2025-01-15","adsfree_toggle_switch",1,1
"2025-01-16","(not set)",2465,1514
"2025-01-16","trial_white_animation_all_features",18,13
"2025-01-16","but_wait",5,1
"2025-01-16","adsfree_toggle_switch",4,2
"2025-01-17","(not set)",2452,1497
"2025-01-17","trial_white_animation_all_features",28,22
"2025-01-17","adsfree_toggle_switch",2,2
"2025-01-17","trial_churner",1,1
"2025-01-18","(not set)",2374,1468
"2025-01-18","trial_white_animation_all_features",20,15
"2025-01-18","plans_offer_annual_highlighted",1,1
"2025-01-19","(not set)",2427,1482
"2025-01-19","trial_white_animation_all_features",18,16
"2025-01-19","adsfree_toggle_switch",6,5
"2025-01-19","bottom_timer_red",1,1
"2025-01-19","pro_promotion_urgent",1,1
"2025-01-20","(not set)",2542,1557
"2025-01-20","trial_white_animation_all_features",19,13
"2025-01-20","adsfree_toggle_switch",7,4
"2025-01-20","trial_churner",1,1
"2025-01-21","(not set)",2967,1703
"2025-01-21","trial_white_animation_all_features",22,19
"2025-01-21","adsfree_toggle_switch",9,5
"2025-01-21","plans_offer_annual_highlighted",3,3
"2025-01-21","adsfree",1,1
"2025-01-21","subscription_churn_alert",1,1
"2025-01-22","(not set)",2703,1598
"2025-01-22","trial_white_animation_all_features",26,18
"2025-01-22","adsfree_toggle_switch",2,2
"2025-01-22","breachreport_monitoring_ultra",1,1
"2025-01-23","(not set)",2443,1495
"2025-01-23","trial_white_animation_all_features",26,16
"2025-01-23","adsfree_toggle_switch",1,1
"2025-01-23","pro_promotion_urgent",1,1
"2025-01-23","trial",1,1
"2025-01-24","(not set)",2575,1532
"2025-01-24","trial_white_animation_all_features",20,17
"2025-01-24","adsfree_toggle_switch",3,3
"2025-01-25","(not set)",2663,1611
"2025-01-25","trial_white_animation_all_features",16,13
"2025-01-25","adsfree_toggle_switch",4,3
"2025-01-25","plans_offer_annual_highlighted",1,1
"2025-01-25","pro_promotion_urgent",1,1
"2025-01-26","(not set)",2525,1577
"2025-01-26","trial_white_animation_all_features",33,25
"2025-01-26","adsfree_toggle_switch",6,5
"2025-01-26","breachreport_monitoring_ultra",1,1
"2025-01-27","(not set)",2791,1688
"2025-01-27","trial_white_animation_all_features",29,21
"2025-01-27","adsfree_toggle_switch",7,2
"2025-01-27","plans_offer_annual_highlighted",2,2
"2025-01-27","trial_churner",1,1
"2025-01-28","(not set)",2602,1652
"2025-01-28","trial_white_animation_all_features",26,18
"2025-01-28","adsfree_toggle_switch",5,2
"2025-01-28","plans_offer_annual_highlighted",2,2
"2025-01-28","adsfree_promotion_lto",1,1
"2025-01-29","(not set)",2542,1556
"2025-01-29","trial_white_animation_all_features",30,25
"2025-01-29","adsfree_toggle_switch",1,1
"2025-01-30","(not set)",2751,1644
"2025-01-30","trial_white_animation_all_features",28,24
"2025-01-30","adsfree_toggle_switch",6,5
"2025-01-30","plans_offer_annual_highlighted",2,1
"2025-01-30","pro_promotion_urgent",1,1
"2025-01-30","trial",1,1
"2025-01-31","(not set)",2556,1513
"2025-01-31","trial_white_animation_all_features",14,12
"2025-01-31","adsfree_toggle_switch",2,2
"2025-01-31","plans_offer_annual_highlighted",1,1
"2025-02-01","(not set)",2432,1507
"2025-02-01","trial_white_animation_all_features",21,16
"2025-02-01","plans_offer_annual_highlighted",4,3
"2025-02-01","adsfree_toggle_switch",3,2
"2025-02-02","(not set)",2620,1502
"2025-02-02","trial_white_animation_all_features",25,20
"2025-02-02","adsfree_toggle_switch",4,4
"2025-02-02","plans_offer_annual_highlighted",4,3
"2025-02-03","(not set)",2386,1468
"2025-02-03","trial_white_animation_all_features",15,8
"2025-02-03","adsfree_toggle_switch",2,2
"2025-02-03","plans_offer_annual_highlighted",2,1
"2025-02-04","(not set)",2328,1378
"2025-02-04","trial_white_animation_all_features",28,21
"2025-02-04","adsfree_toggle_switch",1,1
"2025-02-04","plans_offer_annual_highlighted",1,1
"2025-02-04","trial",1,1
"2025-02-05","(not set)",2017,1276
"2025-02-05","trial_white_animation_all_features",84,56
"2025-02-05","plans_offer_annual_highlighted",8,1
"2025-02-05","adsfree_toggle_switch",7,7
"2025-02-05","adsfree",1,1
"2025-02-05","pro_promotion_urgent",1,1
"2025-02-06","(not set)",2229,1361
"2025-02-06","trial_white_animation_all_features",21,16
"2025-02-06","adsfree_toggle_switch",1,1
"2025-02-06","plans_offer_annual_highlighted",1,1
"2025-02-07","(not set)",2181,1369
"2025-02-07","trial_white_animation_all_features",17,15
"2025-02-07","adsfree_toggle_switch",3,2
"2025-02-07","plans_offer_annual_highlighted",2,2
"2025-02-07","adsfree_promotion_lto",1,1
"2025-02-07","trial",1,1
"2025-02-08","(not set)",2243,1360
"2025-02-08","trial_white_animation_all_features",17,16
"2025-02-08","adsfree_toggle_switch",3,3
"2025-02-08","adsfree",1,1
"2025-02-09","(not set)",2289,1441
"2025-02-09","trial_white_animation_all_features",16,14
"2025-02-09","adsfree_toggle_switch",3,2
"2025-02-09","plans_offer_annual_highlighted",1,1
"2025-02-09","trial_churner",1,1
"2025-02-10","(not set)",2226,1316
"2025-02-10","trial_white_animation_all_features",21,18
"2025-02-10","plans_offer_annual_highlighted",9,4
"2025-02-10","adsfree_toggle_switch",6,5
